,Unnamed: 0,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt
5995,2341,64130000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,1885,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
5996,2342,64130000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,1029,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
5997,2343,61683000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,704,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
5998,2344,61683000,놀면 뭐하니? 220회(24/01/13),TV 연예/오락,기타,864,"새해를 맞이해 다시 돌아온 우리의 석훈 아저씨. 오늘은 YG 구내식당으로 가자! 말로만 듣던 구내식당, 감탄 연발! 헬스, 간식, 안마까지 내 집 같은 남의 회사!","유재석,하하,박진주,이이경,미주,주우재",1:16,20200000000000.0
5999,2356,66147000,개는 훌륭하다 170회(23/04/17),TV 연예/오락,기타,1632,"크아아아앙!! 한적한 항구 마을에 울려 퍼지는 괴성의 정체는?! 무섭고 소름 끼쳐요!, 다 물어버린다니까요? 주민들을 공포에 몰아넣는 역대급 동네 빌런 견, 비글 찌루가 온다!","강형욱,이경규,박세리",1:07,20200000000000.0
6000,2357,66147000,개는 훌륭하다 170회(23/04/17),TV 연예/오락,기타,310,"크아아아앙!! 한적한 항구 마을에 울려 퍼지는 괴성의 정체는?! 무섭고 소름 끼쳐요!, 다 물어버린다니까요? 주민들을 공포에 몰아넣는 역대급 동네 빌런 견, 비글 찌루가 온다!","강형욱,이경규,박세리",1:07,20200000000000.0
6001,2359,65015000,미스터 로또 16회(23/08/24),TV 연예/오락,기타,2926,8:7 박빙의 승부에 불을 붙여줄 강력한 보컬리스트들이 왔다! 파워보컬 특집! 오직 보컬만을 대결하는 황금 기사단에 TOP7은 이길 수 있을지!,"김성주,붐,안성훈,박지현,진해성,나상도,최수호,진욱,박성온,박서진,김용필,재하",1:49,20200000000000.0
6002,2360,65015000,미스터 로또 16회(23/08/24),TV 연예/오락,기타,3013,8:7 박빙의 승부에 불을 붙여줄 강력한 보컬리스트들이 왔다! 파워보컬 특집! 오직 보컬만을 대결하는 황금 기사단에 TOP7은 이길 수 있을지!,"김성주,붐,안성훈,박지현,진해성,나상도,최수호,진욱,박성온,박서진,김용필,재하",1:49,20200000000000.0
6003,2361,65015000,미스터 로또 16회(23/08/24),TV 연예/오락,기타,3391,8:7 박빙의 승부에 불을 붙여줄 강력한 보컬리스트들이 왔다! 파워보컬 특집! 오직 보컬만을 대결하는 황금 기사단에 TOP7은 이길 수 있을지!,"김성주,붐,안성훈,박지현,진해성,나상도,최수호,진욱,박성온,박서진,김용필,재하",1:49,20200000000000.0
6004,2363,64385000,(HD)복면가왕 425회(23/10/29),TV 연예/오락,기타,3460,"휘몰아치는 고음의 향연! 센세이셔널한 무대로 복면가왕을 제패한 가왕 미다스의 손! 레전드 로커 김종서, 디테일한 보컬 스킬이 천재 같다! 그의 박수갈채를 받은 복면가수는 누구?! 마성의 보컬 김필의 판정단 첫 출격! 매서운 눈썰미와 신들린 촉으로 맹활약 예고!","김성주,김구라",1:35,20200000000000.0
