,subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP,
46,63024000,OCN무비즈,20240301170053,172,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리",
47,62371000,OCN무비즈,20240301003129,0,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
48,64753000,OCN무비즈,20240301015847,7,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
49,65309000,OCN무비즈,20240301010459,70,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
50,66024000,OCN무비즈,20240301174227,869,런던 해즈 폴른,사상 최악의 테러가 벌어진 런던에서 미국 대통령이 납치되는 위기에 맞서는 일급 경호원과 영국 정보국의 활약을 그린 액션 블록버스터,"제라드 버틀러,아론 에크하트,모건 프리먼,샬롯 라일리",
51,64282000,OCN무비즈,20240301002150,7,이끼,,"유준상,유해진,허준호,유선,정재영,박해일,김준배,김상호",
52,61186000,tvN스토리,20240301143736,12,미스터 션샤인(14회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
53,66045000,tvN스토리,20240301180242,6,미스터 션샤인(16회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
54,66035000,tvN스토리,20240301155716,1,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
55,61625000,tvN스토리,20240301164049,6,미스터 션샤인(15회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
56,65201000,tvN스토리,20240301182941,5,미스터 션샤인(16회),신미양요 때 군함에 승선해 미국에 떨어진 한 소년이 자신을 버린 조선으로 돌아와 주둔하며 벌어지는 이야기를 그린 드라마,"이병헌,김태리,유연석,변요한,김민정,조우진,김병철,배정남,최무성,김의성,신정근",
