,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt
633,66875000,미우연쌍비 07회(A),TV드라마,외화 시리즈,1145,"가계는 먼 막북으로 가야 한다며 말희에게 자신을 기다리지 말라는 말을 남기고 떠난다. 한편 오 승상이 봉요를 자신의 바보 아들과 혼인시키려 하자, 말희는 봉요를 돕기 위해 가계에게 서신을 보내고 이내 청천벽력 같은 소식을 듣게 되는데...","장난,왕위원,쑨이저우,자오잉보",00:45,20240212030518
634,65386000,영상앨범 산 920회(24/01/28),TV 시사/교양,기타,9,"[겨울에 피어난 연꽃 산 - 진안 구봉산] 구봉산은 뾰족하게 솟아오른 아홉 개의 봉우리가 독특한 산세를 자랑하고, 봉우리에 올라서면 호남의 명산이 두루 조망되는 산군의 파노라마를 보여준다. 구봉산으로 숲길등산지도사 송찬석, 금융인 김경범 씨가 여정을 떠난다.","송찬석,김경범",00:25,20240224135745
635,65954000,우당탕탕 패밀리 096회(24/02/02),TV드라마,기타,1674,영화에 복귀한 은성은 반가운 옛 인연과 재회하고... 민국은 다정하게 떡볶이를 먹는 가람과 혜윤을 보며 흐뭇해한다. 한편 은성의 영화 복귀를 알게 된 정애는 은성을 만나러 영화사에 갔다가 놀랄만한 광경을 목격하는데...,"남상지,이도겸,강다빈,이효나",00:28,20240220094233
636,60801000,집으로가는길(시청각),영화,드라마,111,"시청각장애인을 위한 화면해설, 자막 삽입버전. 사랑하는 남편과 딸이 세상 전부인 평범한 아내. 여권에 처음 도장이 찍히던 날, 프랑스에서 마약범으로 몰려 교도소에 수감되는데... 2004년 프랑스 오를리 국제공항, 한국인 주부 마약 운반범으로 검거된 사건이 공개된다.","전도연,고수,강지우,최민철",02:10,20240221004021
637,65830000,타요의 씽씽극장 시즌2 04회,키즈,애니메이션,244,"안녕 인사해요. 새롭게 유치원 버스가 된 킨더. 유치원 아이들을 태우러 가는 첫날 킨더는 긴장이 돼서 제대로 인사도 못 하는데, 두리가 나서더니 먼저 자기소개를 하는 노래를 불러주는데...",타요,00:06,20240211105550
638,67346000,타요의 씽씽극장 시즌2 04회,키즈,애니메이션,360,"안녕 인사해요. 새롭게 유치원 버스가 된 킨더. 유치원 아이들을 태우러 가는 첫날 킨더는 긴장이 돼서 제대로 인사도 못 하는데, 두리가 나서더니 먼저 자기소개를 하는 노래를 불러주는데...",타요,00:06,20240217120218
639,63665000,우리 갑순이 60회,TV드라마,기타,3526,"반찬을 만들다 손을 다친 재순은 구급함을 꺼내다 금식이 했던 행동과 말들이 주마등처럼 스쳐 지나가며, 그제야 자신의 마음을 깨닫고 웨딩홀을 향해 뛰기 시작한다. 한편, 꽃님과 중년이 함께 있는 모습을 본 삼식! 꽃님의 사기 상대가 중년이라는 사실을 알게 되는데...","송재림,김소은,유선,김규리,최대철,이완",01:03,20240216183736
640,60784000,대낮부터 발정난 아내 무삭제판,기타,기타,671,1. 섹스하고 싶어. 2. 발정난 아내. 3. 아주버니의 테크닉.,"쇼우지 유리나,아마미 시오리",01:20,20240213161055
641,63076000,닐로로 키둘의 아이들,다큐,인물,2531,"15.10.07 방영. 닐로로 키둘의 아이들. 뱀의 사냥부터 가죽 벗기기, 가공, 그리고 뱀 가죽제품 판매까지의 과정속에서 살고 있는 사람들의 이야기를 휴먼다큐멘터리로 표현한다.",-,00:48,20240211075956
642,63017000,월간주부생활(예고),영화,성인,60,"결혼 8년 차의 34세 수진은 최근 남편 혁수에게 다른 여자가 있음을 직감한다. 어느 날 우연히 주부 생활 콘텐츠 크리에이터 창기를 만나 월간 주부생활이라는 코너의 인터뷰를 하게 된 수진은 부부관계의 고민을 털어놓고, 창기는 그런 수진을 달래며 깊은 관계를 갖게 된다.","수지,조완진,민도윤,이채담",00:01,20240229145640
